col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
H,M,3,1,-,250.331025,-48.7632056,336.7097377,-1.5724213,T,N,A
H,M,3,1,-,250.3351875,-48.7629833,336.711718,-1.5743342,T,N,A
H,M,3,1,-,251.0300375,-46.141625,338.9958903,-0.2045993,T,,A
H,M,3,1,-,251.6619417,-47.0901806,338.5588109,-1.1517669,T,H,A
H,M,3,1,-,251.642475,-41.6107,342.7226479,2.411244,T,R,S
H,M,3,1,-,251.7338208,-45.8873167,339.5071329,-0.4100154,T,W,A
H,M,3,1,-,252.4510542,-42.0017222,342.8119035,1.69836,T,R,S
H,M,3,1,-,252.8905083,-41.2305333,343.6156202,1.9378517,T,C,S
H,M,3,1,-,253.1973875,-41.7858333,343.3324517,1.4077067,T,R,S
H,M,3,1,-,253.3692458,-42.1214028,343.1535021,1.0963642,T,R,S
H,M,3,1,-,253.4652292,-41.8424194,343.4148971,1.2172897,T,N,S
H,M,3,1,-,253.4999542,-41.714675,343.5303613,1.277817,T,N,S
H,M,3,1,-,253.4816917,-41.8809639,343.3927338,1.1834518,T,N,S
H,M,3,1,-,253.5149625,-41.7916389,343.4776941,1.2205781,T,N,S
H,M,3,1,-,253.5220833,-41.079475,344.0339261,1.6655609,T,C,S
H,M,3,1,-,253.5479875,-41.6419333,343.6094583,1.2958509,T,C,S
H,M,3,1,-,253.5419292,-41.8250333,343.4644512,1.1839186,T,N,S
H,M,3,1,-,253.5485042,-41.8492417,343.4487464,1.1648529,T,N,S
H,M,3,1,-,253.6333458,-41.8052389,343.522765,1.1434858,T,N,S
H,M,3,1,-,253.7768792,-44.9892694,341.1133544,-0.9408166,T,R,S
H,M,3,1,-,253.7307125,-40.5248278,344.564562,1.8919913,T,C,S
H,M,3,1,-,253.7437708,-41.1508556,344.0836241,1.4908559,T,C,S
H,M,3,1,-,253.7638792,-42.0908333,343.3618219,0.8883486,T,R,S
H,M,3,1,-,254.0217333,-40.3493333,344.8403102,1.8295083,T,C,S
H,M,3,1,-,254.0626083,-40.6599333,344.6173468,1.6109438,T,B,S
H,M,3,1,-,254.2278167,-40.5123306,344.8110583,1.6051853,T,C,S
H,M,3,1,-,255.3041958,-38.2033,347.141347,2.3800314,T,S,
H,M,3,1,-,255.98655,-37.8441417,347.7544225,2.1734894,T,S,
H,M,3,1,-,256.6182125,-35.4510417,349.9702269,3.2150589,T,A,
H,M,3,1,-,257.0582625,-35.0043556,350.5441146,3.194523,T,,
H,M,3,1,-,257.4711917,-47.0314389,341.0616109,-4.219081,T,R,
H,M,3,1,-,258.9589583,-45.9107667,342.5741014,-4.3949397,T,R,
H,M,3,1,-,258.8430208,-38.2129722,348.7967139,0.1455561,T,S,
H,M,3,1,-,258.8301958,-33.5484167,352.585825,2.8683235,T,,
H,M,3,1,-,258.9614667,-33.7370028,352.4956129,2.6698582,T,,
H,M,3,1,-,259.1097333,-42.6678139,345.2869786,-2.6070003,T,R,
H,M,3,1,-,259.3625375,-35.5366667,351.2182294,1.3591179,T,B,
H,M,3,1,-,259.6908917,-42.8916444,345.3497938,-3.0846089,T,N,
H,M,3,1,-,260.2194,-36.0723722,351.1783355,0.4825873,T,N,
H,M,0,1,-,261.5722167,-10.9929972,12.9705765,13.3103199,T,,
H,M,3,1,-,262.3038542,-31.5342889,355.9067473,1.5964617,T,S,
H,M,3,1,-,263.6770458,-32.5816583,355.6666059,0.0493191,T,N,
H,M,1,0,+,40.1872958,61.2822333,135.6779803,1.1452882,T,S,C
H,M,1,0,+,40.7167792,56.9045694,137.7313696,-2.7307376,T,,m
H,M,1,0,+,41.0529875,56.6575639,138.0023766,-2.877937,T,,m
H,M,3,1,-,267.3531375,-38.9837861,351.7784927,-5.8490439,T,,
H,M,3,1,-,267.3189958,-31.2550194,358.4247876,-1.8766468,T,S,
H,M,3,1,-,269.8681958,-36.0209944,355.3604733,-6.1042182,T,,
H,M,0,1,-,269.7385792,-22.5175472,7.0519808,0.6878046,T,R,S
H,M,0,1,-,269.8596333,-22.4669083,7.1516216,0.6160637,T,R,S
H,M,0,1,-,270.08315,-28.6207361,1.9099011,-2.6166196,T,,
H,M,0,1,-,270.4678292,-19.1061306,10.3528661,1.788631,T,,S
H,M,0,1,-,270.5981375,-23.03085,6.9995011,-0.2549813,T,N,S
H,M,0,1,-,270.6609125,-24.2553861,5.962661,-0.9091071,T,N,S
H,M,0,1,-,270.9868458,-24.3125306,6.0591119,-1.1958662,T,N,S
H,M,0,1,-,271.2939625,-24.3985694,6.1212493,-1.4819135,T,N,S
H,M,0,1,+,271.1556583,1.9189917,29.2694699,11.2858779,T,,
H,M,0,1,-,271.5194958,-24.1955222,6.3989314,-1.5620923,T,N,S
H,M,0,1,-,271.4951583,-14.1980583,15.1186972,3.3348514,T,S,
H,M,0,1,-,272.32375,-23.9884028,6.9367,-2.1034275,T,C,S
H,M,0,1,-,272.9879125,-20.4233778,10.3579935,-0.9241647,T,W,S
H,M,0,1,-,273.1027333,-10.7314,18.9197698,3.6279906,T,,
H,M,0,1,-,273.9822792,-18.24085,12.7236681,-0.7041501,T,S,S
H,M,0,1,-,274.2069,-16.5178611,14.3412526,-0.073114,T,I,S
H,M,0,1,-,274.2440083,-18.9681111,12.2016872,-1.2681149,T,S,S
H,M,0,1,-,274.3689833,-18.4634528,12.7021982,-1.1328766,T,S,S
H,M,0,1,-,274.6501792,-13.7934611,16.9427812,0.8422421,T,N,S
H,M,0,1,-,274.6517542,-13.8006611,16.9371614,0.8374877,T,N,S
H,M,0,1,-,274.6702833,-12.1064972,18.4387908,1.6227908,T,N,S
H,M,0,1,-,274.7341208,-13.8086333,16.9679765,0.7632438,T,N,S
H,M,0,1,-,275.0715792,-12.1719972,18.5662393,1.2459959,T,N,S
H,M,0,1,-,275.1420667,-13.954375,17.0264747,0.3453208,T,S,S
H,M,0,1,-,275.8565083,-26.9530083,5.8210262,-6.3128506,T,,
H,M,0,1,-,276.4297792,-9.7530611,21.328577,1.2021191,T,,S
H,M,1,0,+,42.7832125,60.4177444,137.1904467,0.9026735,A,I,C
H,M,1,0,+,42.784425,60.4177167,137.1909955,0.9029144,A,I,C
H,M,1,0,+,42.8101417,60.3861028,137.2164216,0.8802331,T,I,C
H,M,1,0,+,42.8099833,60.3861444,137.216333,0.8802356,A,I,C
H,M,1,0,+,42.9491583,57.0484611,138.7676838,-2.0760198,T,,m
H,M,0,1,-,277.1046208,-16.7012333,15.4820592,-2.611551,T,,
H,M,0,1,-,279.0526708,-14.1155056,18.6456638,-3.0897266,T,,
